Name,Rating,Reviews,Expense Level,Address
Porchlight,4.4,1K,Expensive,Cocktail bar271 11th AvenueOpen
"Gamehaus New York - Sports Bar, Beer Hall, Food & Games",4.3,255,Moderate Cost,Restaurant5-14 51st Avenue
Upland,4.5,2.2K,Expensive,Restaurant345 Park Ave S
Piccola Cucina Osteria Siciliana,4.6,2.1K,Low Cost,Italian196 Spring St
COTE Korean Steakhouse,4.6,3.5K,Low Cost,Steak16 W 22nd StCloses soon
RH Rooftop Restaurant New York,4.4,2K,Low Cost,American9 9th Ave
Eataly NYC Downtown,4.2,5.8K,Moderate Cost,Italian101 Liberty St
Crown Shy,4.5,1.4K,Low Cost,American70 Pine St Ground Floor
"The Dead Rabbit, New York City",4.7,7.2K,Moderate Cost,"Restaurant30 Water StLively, bi-level taproom & cocktail bar"
1803 NYC,4.5,1.7K,Low Cost,Cajun82 Reade St
Frevo,4.8,634,Low Cost,Fine Dining48 W 8th St
Atera,4.6,535,Low Cost,New American77 Worth St
Piccola Cucina Estiatorio,4.7,1.6K,Low Cost,Italian75 Thompson St
Raoul's,4.5,1.1K,Low Cost,French180 Prince St
LOS TACOS No.1,4.7,4.7K,Low Cost,Tacos75 9th Ave
Coppelia,4.5,3.4K,Moderate Cost,Cuban207 W 14th StSimple 24/7 pan-Latin diner
Jams,4.2,1.1K,Low Cost,Californian1414 6th Ave
Hole In The Wall,4.7,1.8K,Low Cost,Restaurant15 Cliff St
Forgione,4.6,675,Low Cost,American30 Hudson St
The Capital Grille,4.6,1.3K,Low Cost,Fine Dining120 Broadway
CUT by Wolfgang Puck,4.4,661,Low Cost,Restaurant99 Church St
noreetuh,4.6,670,Low Cost,Hawaiian128 1st Ave.
Porchlight,4.4,1K,Expensive,Cocktail bar271 11th AvenueOpen
ASSET,4.4,366,Moderate Cost,Pan-Asian restaurant329 Columbus Avenue
Dirt Candy,4.5,1.3K,Low Cost,Vegetarian86 Allen St
Shanghai 21,4.5,3.1K,Low Cost,Shanghainese21 Mott St
Clover Hill,4.6,236,Low Cost,"New AmericanBrooklyn, NY, United States"
Buddha-Bar New York - Modern Asian Restaurant,4.1,824,Low Cost,Asian Fusion62 Thomas St
MOE EATS NYC,5.0,105,Low Cost,Restaurant120 W 49th St
Dhamaka,4.5,3.2K,Low Cost,Indian119 Delancey St
ATOMIX,4.8,390,Low Cost,Korean104 E 30th St
Jungsik,4.7,769,Low Cost,Korean2 Harrison St
Brooklyn Chop House Steakhouse Downtown NYC,4.2,1.8K,Low Cost,Steak150 Nassau St
Chambers,4.8,219,Low Cost,New American94 Chambers St #1
