Name,Rating,Reviews,Expense Level,Address
Silent H,4.6,931,Moderate Cost,Restaurant461 King Street WestOpen
Blu Ristorante,4.5,1.4K,Expensive,Italian restaurant90 Avenue Road
Byblos Downtown,4.5,3.3K,Expensive,Middle Eastern11 Duncan St
Richmond Station,4.7,3.2K,Expensive,Canadian1 Richmond St W
PAI,4.6,13K,Moderate Cost,Thai18 Duncan St
JOEY Eaton Centre,4.4,5.5K,Moderate Cost,Restaurant1 Dundas St WCloses soon
Canoe,4.4,3.3K,Expensive,Canadian66 Wellington St W 54th floor
Earls Kitchen + Bar,4.3,5.7K,Moderate Cost,Restaurant150 King St W #100Sleek spot serving global dishes & beer
Fox on John,4.6,8.1K,Moderate Cost,Modern British106 John St #3Breezy alehouse for pub grub & pool
RASA,4.7,1.1K,Moderate Cost,Restaurant196 Robert St
GEORGE Restaurant,4.5,1.1K,Expensive,Canadian111C Queen St E
Moxies Toronto Downtown Restaurant,4.2,3K,Moderate Cost,Restaurant70 University AveCloses soon
Black+Blue,4.7,2.1K,Very Expensive,Restaurant130 King St W
Harbour 60 Toronto,4.4,2.6K,Expensive,Steak60 Harbour StHigh-end fare in a sumptuous setting
Miku Toronto,4.5,4.1K,Expensive,Authentic Japanese10 Bay St. #105
Alo,4.6,1.9K,Expensive,Modern French163 Spadina Ave.
Leña Restaurante,4.2,2.8K,Expensive,Latin American176 Yonge St
The Carbon Bar,4.5,3.1K,Moderate Cost,Barbecue99 Queen St E
The Old Spaghetti Factory,4.4,10K,Moderate Cost,Italian54 The Esplanade
Gusto 101,4.3,4.8K,Moderate Cost,Italian101 Portland St
Kellys Landing,4.4,5.8K,Moderate Cost,Restaurant123 Front St W
Figo Toronto,4.1,2.5K,Moderate Cost,Italian295 Adelaide St W
Silent H,4.6,931,Moderate Cost,Restaurant461 King Street WestOpen
Blu Ristorante,4.5,1.4K,Expensive,Italian restaurant90 Avenue Road
Scaddabush Italian Kitchen & Bar Front Street,4.4,7K,Moderate Cost,Italian200 Front St W Unit #G001
KŌST,4.3,4.5K,Expensive,Californian80 Blue Jays Way 44th Floor
Jacobs & Co. Steakhouse,4.6,2.4K,Expensive,Steak12 Brant St
Vela Toronto,4.5,1.1K,Expensive,Restaurant90 Portland St
House on Parliament,4.6,2.6K,Moderate Cost,Gastropub454 Parliament St
360 The Restaurant at the CN Tower,4.1,7.4K,Expensive,Canadian290 Bremner Blvd
The Keg Steakhouse + Bar - York Street,4.5,4.2K,Expensive,Restaurant165 York St
La Palette,4.5,1.3K,Expensive,French492 Queen St WFrench bistro fare & microbrews on tap
Queen Street Warehouse,4.0,4.6K,Moderate Cost,Restaurant232 Queen St WCreative comfort eats & a full bar
Aloette Restaurant,4.5,1.7K,Expensive,Canadian163 Spadina Ave. 1st Floor
The Chase,4.4,1.8K,Expensive,Restaurant10 Temperance St Fl 5
Wilbur Mexicana,4.6,4.4K,Low Cost,Mexican552 King St W
RUNWAY06,4.4,1.6K,Moderate Cost,Restaurant132 John St
Rodney’s Oyster House,4.6,3K,Expensive,Oyster Bar469 King St W
DaiLo,4.6,1.6K,Expensive,Asian503 College St
Vagabondo Restobar,4.5,1.4K,Moderate Cost,Italian310 Front St W
The Rabbit Hole,4.3,415,Moderate Cost,Restaurant21 Adelaide St W
Laylak Lebanese Cuisine Toronto,4.6,1.2K,Moderate Cost,Lebanese25 Toronto St
Fran's Restaurant,4.2,3.9K,Low Cost,Diner200 Victoria StAlways-open option for homestyle fare
Piano Piano Restaurant,4.3,2.7K,Expensive,Italian88 Harbord St
Silent H,4.6,931,Moderate Cost,Restaurant461 King Street WestOpen
Alder,4.5,379,Moderate Cost,Restaurant51 Camden Street
Hy's Steakhouse & Cocktail Bar,4.5,2.2K,Expensive,Steak365 Bay St.
Antler Kitchen & Bar,4.8,2.7K,Expensive,Restaurant1454 Dundas St W
Cactus Club Cafe First Canadian Place,4.3,6.4K,Moderate Cost,Restaurant77 Adelaide St WCloses soon
Baro,4.3,3.4K,Expensive,Restaurant485 King St W
Amano Trattoria,4.5,696,Expensive,Italian9 Church St
Terroni,4.2,6.4K,Moderate Cost,Southern Italian57 Adelaide St E
Harriet's Rooftop,4.0,570,Moderate Cost,Restaurant550 Wellington St W Suite C
Adega Restaurante,4.5,755,Expensive,Portuguese33 Elm St
Elephant & Castle,4.1,3.6K,Moderate Cost,Restaurant212 King St WCloses soon
Selva Toronto,3.8,622,Moderate Cost,Restaurant221 Richmond St W
The Senator,4.3,1.5K,Moderate Cost,Restaurant249 Victoria St
Trattoria Mercatto,4.1,2K,Moderate Cost,Italian220 Yonge St
Jump Restaurant,4.2,1K,Expensive,Fine Dining18 Wellington St W
1 Kitchen,4.2,865,Moderate Cost,Restaurant550 Wellington St W Ground Floor
Donatello Restaurant,4.3,1.4K,Expensive,Italian37 Elm St
Khao San Road,4.4,3.6K,Moderate Cost,Thai11 Charlotte St
Fran's Restaurant and Bar,4.2,4.9K,Moderate Cost,Brunch20 College StAlways-open option for homestyle fare
KHAZANA Toronto - by Chef Sanjeev Kapoor,4.5,4.6K,Moderate Cost,Indian261 Yonge St
Volos Greek Cuisine,4.5,1.2K,Expensive,Greek133 Richmond St W
Lee,4.5,2.8K,Expensive,South East Asian497 Richmond St W
Silent H,4.6,931,Moderate Cost,Restaurant461 King Street WestOpen
Alder,4.5,379,Moderate Cost,Restaurant51 Camden Street
Chiado Restaurant,4.6,852,Expensive,Portuguese864 College St
Kiin,4.5,996,Expensive,Thai326 Adelaide St W
Evviva Breakfast and Lunch,4.2,4K,Moderate Cost,Breakfast25 Lower Simcoe St
Milagro Cantina,4.2,1.9K,Moderate Cost,Mexican5 Mercer St
Carisma,4.4,1.2K,Expensive,Italian15 Toronto St
KINKA IZAKAYA ORIGINAL,4.4,2.6K,Moderate Cost,Authentic Japanese398 Church St
LIBRARY BAR,4.5,671,Expensive,Restaurant100 Front St W
The Blake House,4.4,1.6K,Moderate Cost,Canadian449 Jarvis St
Añejo Restaurant,4.5,2.7K,Moderate Cost,Restaurant600 King St WCloses soon
Constantine Toronto,4.2,779,Expensive,Mediterranean15 Charles St E
Akira Back Restaurant,4.4,1.5K,Expensive,Japanese80 Blue Jays Way
The Corner Place,4.4,1.6K,Moderate Cost,Gastropub11 Jarvis StCloses soon
LOUIX LOUIS,4.2,1.5K,Expensive,Restaurant325 Bay St.
Stratus,4.4,447,Expensive,"Fine DiningTD South Tower, 79 Wellington St W tower 36th floor"
Restaurant 20 Victoria,4.4,217,Expensive,Canadian20 Victoria St
Barberian's Steak House,4.5,2.2K,Expensive,Steak7 Elm St
Petros82 Restaurant,4.8,805,Expensive,Greek299 Adelaide St W
Seven Lives Tacos y Mariscos,4.6,3.6K,Low Cost,Tacos72 Kensington Ave
Grey Gardens,4.6,902,Expensive,Restaurant199 Augusta Ave
e11even,4.1,1.3K,Expensive,"Restaurant15 York Street Corner of York and, Bremner Blvd"
Silent H,4.6,931,Moderate Cost,Restaurant461 King Street WestOpen
Alder,4.5,379,Moderate Cost,Restaurant51 Camden Street
JaBistro,4.5,1.7K,Expensive,Japanese222 Richmond St W
Woods Restaurant & Bar,4.4,606,Expensive,Canadian45 Colborne St
ARDO Restaurant,4.4,748,Moderate Cost,Restaurant243 King St E
Victor Restaurant,4.3,272,Moderate Cost,Modern French30 Mercer St
bosk,4.3,356,Very Expensive,Italian188 University Ave
Bymark,4.4,778,Very Expensive,Restaurant66 Wellington St W
Mother Tongue,4.4,820,Moderate Cost,Asian348 Adelaide St W
La Bettola Di Terroni,4.2,1.3K,Expensive,Italian106 Victoria St
The Keg Steakhouse + Bar - Esplanade,4.4,3.5K,Expensive,Restaurant26 The Esplanade
ONoir Toronto,4.1,1.4K,Expensive,Restaurant620 Church St
One Eyed Jack Restaurant & Bar Toronto,4.7,806,Moderate Cost,Restaurant287 Richmond St WCloses soon
Sunset Grill,4.3,2K,Low Cost,Breakfast1 Richmond St W
Ricarda's Restaurant | Café | Event Venue,4.3,1.4K,Expensive,Modern French134 Peter St
Ruth's Chris Steak House,4.5,1.5K,Expensive,"SteakHilton Toronto, 145 Richmond St W"
The Bombay,4.1,1.4K,Moderate Cost,Indian259 Queen St W Unit 2A
Barkat - Indian Restaurant in downtown Toronto,4.6,1.2K,Moderate Cost,Fine Dining712 Queen St W
Brown Donkatsu - DOWNTOWN,4.8,1.8K,Moderate Cost,Tonkatsu restaurant138 Dundas St W
Alobar Downtown,4.3,171,Expensive,Restaurant150 York St
Daphne,4.3,627,Expensive,American67 Richmond St W
Biff's Bistro,4.4,1.2K,Expensive,Restaurant2 Front St E
Silent H,4.6,931,Moderate Cost,Restaurant461 King Street WestOpen
Blu Ristorante,4.5,1.4K,Expensive,Italian restaurant90 Avenue Road
La Carnita,4.1,4.2K,Moderate Cost,Mexican106 John St
Alice Restaurant & Bar,4.4,267,Moderate Cost,Restaurant488 College St
Annalakshmi Toronto,4.1,2.1K,Low Cost,South Indian277 Wellington St W Unit 100b
Bar Isabel,4.5,2.5K,Expensive,Spanish797 College St
Luma,4.2,762,Expensive,Restaurant350 King Street West 2nd Floor REITMAN SQUARE
